Content Type,Extracted Data,Extra Info / Link
H1,"Trump Dials PM Modi, Discusses Bilateral Cooperation, Strait Of Hormuz | Live Updates",
H2,Videos,
H2,Web Stories,
H2,Watch Live,
H2,Opinion,
H2,SPOTLIGHT,
H2,News In Motion,
H2,Top Deals,
H2,Podcast,
H2,Entertainment,
H2,Lifestyle,
H2,Sports,
H2,Food,
H2,Profit,
H2,Health,
H2,Travel,
H2,Education,
H2,Auto,
H2,हिंदी न्यूज़,
H2,मध्‍यप्रदेश-छत्तीसगढ़,
H2,राजस्थान,
H2,मराठी,
H2,India News,
H2,Offbeat,
H2,Science,
H2,Tech,
H2,Campaigns,
H2,More News,
H3,"Exclusive ""It's For India To Decide"": US Envoy On Role In Middle East Peace Process",
H3,"Xi Pushes 4-Point Peace Plan For Middle East, Promises To Help Boost Security",
H3,"Fresh Talks With Iran Likely In Pakistan In ""Next Two Days"", Says Trump",
H3,Man Who Vowed To 'Dethrone' Nitish Kumar Named New Bihar Chief Minister,
H3,"""Used To Say 'Go Marry Hindu Girls'"": Witness On Nashik TCS 'Conversion'",
H3,$435 Million: Iran's Estimated Per-Day Loss Due To US' Hormuz Blockade,
H3,IPL 2026 Live: KKR's Narine Gamble Ends; Fans Stunned By Gaikwad's Dropped Catch | Live Scorecard,
H3,"10 Killed, 40 Injured As Boiler Explodes At Vedanta Plant in Chhattisgarh",
H3,"Bengaluru Woman Smothers 13-Year-Old Daughter, Then Dies By Suicide: Cops",
H3,"Pakistan Has Already Got Its 'Prize', Even If The US-Iran Talks Collapsed",
H3,Kunal Kohli Says 'Biggest Directors' Hoped 'Dhurandhar Would Flop On Monday',
H3,Inside Pak's Defence Pact With Saudi That Could Pull It Into Iran War,
H3,BCCI Looking Beyond Captain Suryakumar Yadav? Report Claims Big 'Scrutiny',
H3,"US, Iran Weighing New Talks On Thursday, 2 Venues In Consideration: Report",
H3,Injury Issue For Kohli? RCB Star Wears Bandage On Leg Ahead Of LSG Clash,
H3,"""Indian Memes Are GOAT"": Iran Mocks US' Hormuz Blockade With 'Dhamaal' Video",
H3,"""Rohit Disagreed, Suryakumar Was Shocked"": Hardik's Captaincy Ridiculed",
H3,Video Of Indian Man Harassing Thai Hotel Staff Sparks Outrage Online,
H3,"Influencer Accuses Varun Of Faking Hai Jawani Teaser Reviews, Actor Responds",
H3,Younger Than Sachin: Vaibhav Sooryavanshi Set To Make Historic India Debut,
H3,Family Denied Boarding At Bengaluru Airport: What Are Peru's Visa Rules?,
H3,"Single People At Higher Risk Of Cancer, Study Finds",
H3,"Viral Video From IPL Match Shows Rs 50 Chips Sold For Rs 100, Sparks Outrage",
H3,"""Still Have Shrapnel In My Body"": Sangakkara On Terror Attack In Pakistan",
H3,"A Lottery Ticket For Rs 11,000 Is Offering A Rs 9.3 Crore Picasso As Prize",
H3,"Vaibhav Sooryavanshi ""Wasn't Happy"": Rajasthan Royals Coach Explains Why",
H3,"How ""Joy Bangla"" Became Bengal's Name For A Viral Eye Epidemic",
H3,CBSE 10th Result 2026: How To Check Scores On UMANG App In Easy Steps,
H3,Yogurt vs Curd: Key Difference Between Bacterial Strains Explained,
H3,"Man Claims Rs 14,000 Birkenstock Shoes Turned Dust In 10 Months, Brand Reacts",
H3,This 700-Year-Old Maharashtrian Cuisine Has Stayed Mostly Hidden,
H3,"Family Of 8 Spends 49 Lakh On Flight, Denied Boarding At Bengaluru Airport",
H3,Gastroenterologists Explain How Gond Katira Is Beneficial For Weight Loss,
H3,"Earned Rs 500 Per Game, Mother Sold Jewellery: SRH's Sakib Hussain Journey",
H3,AI-Generated Kids In Teaser Of New Varun Dhawan Film Leaves Internet Baffled,
H3,"""Muh Utha Ke Shots Nahi Khel Sakte"": Babar Azam Drops Another Banger",
H3,Which Place Is Known As The 'Turmeric City Of The World'?,
H3,The Rs 500 Liver Test That Can Prevent A Rs 20 Lakh Hospitalisation,
H3,"8 Suit Styles Every Woman Needs
April 14, 2026",
H3,"Top 7 Indian Destinations To Visit This Summer Season
April 14, 2026",
H3,"6 Activities That Will Make Your Meghalaya Trip Complete
April 14, 2026",
H3,"Siddharth Nigam’s Easy and Stylish Outfit
April 13, 2026",
H3,"8 Ways To Decorate Blank Living Room Walls
April 13, 2026",
H3,How US-Iran Talks Have Exposed Pakistan To 3 Big Risks,
H3,"The Great North-South Debate, And Prickly Questions About 'Fairness'",
H3,How Netanyahu Is Fast Turning Into The Worst 'Deal' Trump Ever Made,
H3,Why Netanyahu Is Both The Happiest And The Most Anxious Man Right Now,
H3,From Climbing On JP's Car To Ousting Left: Mamata Banerjee's Bengal Journey,
H3,"Delhi-Dehradun Expressway Inaugurated: Route, Travel Time, Features Explained",
H3,Should You Apply Colour Corrector Before Concealer To Hide Dark Circles?,
H3,Top 5 Kurti Necklines That Work Perfectly For Office Wear For Women,
H3,Who Is Winning The War? | Ctrl Alt Defence Ep 40,
H3,Vishnu Som's Operation Sindoor Book Is Here! | CTRL ALT Defence Ep 39,
H3,Akshay Kumar Recalls How His Vaishno Devi Trip In 1969 Turned Tragic,
H3,"A Lottery Ticket For Rs 11,000 Is Offering A Rs 9.3 Crore Picasso As Prize",
H3,"SRH Pacer Ruled Out Of IPL 2026 Day After Victory Over RR, Replacement Named",
H3,Watch: Nauheed Cyrusi Has A Clever Cake-Stand Idea You Will Want To Steal,
H3,Bharat Coking Coal's IPO Creates History With 90 Lakh Applications,
H3,"1.3 Billion Globally Have Fatty Liver Disease, Says Lancet Study",
H3,RailOne App Loophole Lets Commuters Buy Tickets After Boarding,
H3,AP Inter 1st And 2nd Year Results 2026 To Be Declared On April 15,
H3,Chery Tiggo 7L Design Patented in India; Mahindra XUV 7XO's New Rival Incoming,
Paragraph,"Analyses, Explainers, Exclusives",
Link,Notifications,https://www.ndtv.com/notifications?pfrom=home-ndtv_nav_wap
Link,Web Stories,https://www.ndtv.com/webstories?pfrom=home-ndtv_nav_wap
Link,TV Schedule,https://www.ndtv.com/tv-schedule?pfrom=home-ndtv_nav_wap
Link,CBSE Class 10 Result,https://www.ndtv.com/search?searchtext=CBSE-Class-10
Link,Iran-Israel War,https://www.ndtv.com/search?searchtext=Iran-War
Link,Assembly Elections 2026,https://www.ndtv.com/elections
Link,"Trump Dials PM Modi, Discusses Bilateral Cooperation, Strait Of Hormuz",https://www.ndtv.com/world-news/pm-modi-speaks-to-donald-trump-call-lasted-40-minutes-11356999?pfrom=home-ndtv_topscroll
Link,Live Updates,https://www.ndtv.com/world-news/us-iran-israel-war-live-updates-us-blockade-iranian-ships-in-strait-of-hormuz-us-iran-failed-peace-talks-ghalibaf-jd-vance-trump-iran-war-israel-11348832
Link,"Exclusive ""It's For India To Decide"": US Envoy On Role In Middle East Peace Process",https://www.ndtv.com/world-news/it-is-for-india-to-decide-us-envoy-sergio-gor-on-role-in-middle-east-peace-process-11357104?pfrom=home-ndtv_topscroll
Link,"Xi Pushes 4-Point Peace Plan For Middle East, Promises To Help Boost Security",https://www.ndtv.com/world-news/us-iran-war-xi-jinping-pushes-4-point-peace-plan-for-middle-east-promises-to-help-boost-security-11356304?pfrom=home-ndtv_topscroll
Link,"Fresh Talks With Iran Likely In Pakistan In ""Next Two Days"", Says Trump",https://www.ndtv.com/world-news/fresh-talks-with-iran-likely-in-pakistan-in-next-two-days-says-trump-11357431?pfrom=home-ndtv_topscroll
Link,Man Who Vowed To 'Dethrone' Nitish Kumar Named New Bihar Chief Minister,https://www.ndtv.com/india-news/samrat-choudhary-bihar-chief-minister-meet-bihars-new-boss-samrat-choudhary-leads-bjp-into-post-nitish-era-11355105?pfrom=home-ndtv_topscroll
Link,"""Used To Say 'Go Marry Hindu Girls'"": Witness On Nashik TCS 'Conversion'",https://www.ndtv.com/india-news/witness-on-nashik-tcs-conversion-sexual-harassment-claim-used-to-say-go-marry-hindu-girls-11355455?pfrom=home-ndtv_topscroll
Link,$435 Million: Iran's Estimated Per-Day Loss Due To US' Hormuz Blockade,https://www.ndtv.com/world-news/us-iran-war-news-435-million-irans-estimated-per-day-loss-due-to-uss-hormuz-blockade-11354309?pfrom=home-ndtv_topscroll
