Content Type,Extracted Data,Extra Info / Link
H1,"Sanctioned Tanker Fails To Break Through US Blockade, Turns Back To Hormuz | Live Updates",
H2,Videos,
H2,Web Stories,
H2,Watch Live,
H2,Opinion,
H2,SPOTLIGHT,
H2,News In Motion,
H2,Top Deals,
H2,Podcast,
H2,Entertainment,
H2,Lifestyle,
H2,Sports,
H2,Food,
H2,Profit,
H2,Health,
H2,Travel,
H2,Education,
H2,Auto,
H2,हिंदी न्यूज़,
H2,मध्‍यप्रदेश-छत्तीसगढ़,
H2,राजस्थान,
H2,मराठी,
H2,India News,
H2,Offbeat,
H2,Science,
H2,Tech,
H2,Campaigns,
H2,More News,
H3,"Maharashtra Man Sexually Exploits 180 Minors, Shoots 350 Videos, Arrested",
H3,US May Be Eyeing Strait Of Malacca After Hormuz. Why It Matters To India,
H3,"US Wants To Restart Talks With Iran, But It Has 2 Key Conditions",
H3,"Switched Planes, Took Bus: Team Iran Claims Threats After Failed US Talks",
H3,"'Act Against HR Executive': Mohandas Pai On 'Conversion', Harassment At TCS",
H3,How MS Dhoni's Words Inspired Noor Ahmad's Match-Winning Show Against KKR,
H3,"Rahane's Troubles Soar, Reprimanded By BCCI For Code of Conduct Breach",
H3,"""Used To Say 'Go Marry Hindu Girls'"": Witness On Nashik TCS 'Conversion'",
H3,"Dhurandhar Becomes The First Indian Franchise To Hit Rs 3,000 Crore Globally",
H3,"CBSE Class 10 Result 2026 LIVE: Result To Be Out Anytime Soon, Check Here",
H3,"Bengaluru Woman Smothers 13-Year-Old Daughter, Then Dies By Suicide: Cops",
H3,"KKR So Bad, They Would Be Relegated In Another 'Premier League'",
H3,"10 Killed, 23 Injured As Boiler Explodes At Vedanta Plant in Chhattisgarh",
H3,$435 Million: Iran's Estimated Per-Day Loss Due To US' Hormuz Blockade,
H3,Rohit Out Of PBKS Match? Report Gives Damning Update On MI Star's Injury,
H3,Strait Of Hormuz: Why US And Iran Are Sailing In Very Different Legal Waters,
H3,"Startup Founder Builds 24 AI Systems To Replace ""Unprofessional"" Staff",
H3,India's Oldest Soft Drink Is 2 Years Older Than Coca-Cola,
H3,Video Shows How CISF Helped Retrieve Woman's Lost iPad At Tirupati Airport,
H3,"""Just There For Style"": Riyan Parag Blasted Yet Again By World Cup-Winner",
H3,Ravi Shastri's Swipe At RCB After CSK Star Showed IPL The Right Approach,
H3,Which City Is Called The Perfume Capital Of India?,
H3,"""Indian Memes Are GOAT"": Iran Mocks US' Hormuz Blockade With 'Dhamaal' Video",
