Content Type,Extracted Data,Extra Info / Link
H1,New York Times - Top Stories,
H2,Watch Today’s Videos,
H2,More News,
H2,The AthleticSports coverage,
H2,Well,
H2,Culture and Lifestyle,
H2,AudioPodcasts and narrated articles,
H2,WirecutterProduct advice,
H2,GamesDaily puzzles,
Paragraph,"Middle East War Will Slow Global Economic Growth, I.M.F. Warns",
Paragraph,"In a report, the International Monetary Fund said that disruptions to oil markets could fuel inflation and raise the possibility of a global recession.",
Link,Cookie Policy,https://www.nytimes.com/privacy/cookie-policy
Link,Privacy Policy,https://help.nytimes.com/hc/en-us/articles/10940941449492
Link,SKIP TO CONTENT,https://www.nytimes.com/#site-content
Link,SKIP TO SITE INDEX,https://www.nytimes.com/#site-index
Link,SKIP ADVERTISEMENT,https://www.nytimes.com/#after-dfp-ad-top
Link,INTERNATIONAL,https://www.nytimes.com/international/
Link,SUBSCRIBE FOR ₹25/WEEK,https://www.nytimes.com/subscription?campaignId=9YU8R&source=bar1
Link,Today’s Paper,https://www.nytimes.com/section/todayspaper
Link,The Athletic,https://www.nytimes.com/athletic/
Link,"Middle East War Will Slow Global Economic Growth, I.M.F. Warns",https://www.nytimes.com/2026/04/14/business/iran-war-imf-economic-growth.html
