Content Type,Extracted Data,Extra Info / Link
H1,LATEST NEWS,
H2,NSE Active Investors Decline In FY26 For First Time In Three Years,
H2,POSHAN Abhiyaan Brings 14 Lakh Anganwadi Centres Under Digital Monitoring Network,
H2,European Court Grants Nirav Modi Anonymity In Extradition Case,
H2,"""Try Saying No To Virat Kohli, Rohit Sharma"": BCCI Warned Of Catastrophe If Gautam Gambhir Is Sacked",
H2,RailTel Share Price Gains Over 13% On Receiving Orders Worth Rs 608 Crore,
H2,'Engineered for Growwth': Groww Shares Rally Over 6% As BofA Initiates Coverage,
H2,"Gold, Silver Rates On April 15: Check Prices In Mumbai, Delhi, Chennai, Kolkata, Bangalore",
H2,"Student Posts WhatsApp Chat Of Teacher Inviting Him To Movie, Internet Slams ""Unprofessional"" Behaviour",
H2,"MS Dhoni The Man Behind Noor Ahmad's Match-Winning Show vs KKR, Coach Explains How",
H2,"Iran War 'Close To Over,' Says Trump",
H2,MP Board To Declare Class 10 & 12 Results Today @11 AM On mpbse.mponline.gov.in,
H2,HG Infra Shares Zoom Almost 15% In Trade Today — Here's Why,
H2,Doctor Explains How Ashwagandha May Reduce Belly Fat Linked To Stress,
H2,"AP Inter 1st, 2nd Year Result 2026 To Be Out At 10:31 AM, Here's How To Check Your Scores Via NDTV",
H2,LIC Shares Rise After Board Approves Maiden Bonus Issue,
H2,11-Year-Old Chained To Wooden Log For Not Attending Madrasa Regularly In Andhra,
H2,"MPBSE MP board 10th, 12th Result: Check Official Website, Direct Link To Download",
H2,ICICI Prudential AMC Shares Tumble Over 3% Despite In-Line Q4 Results,
H2,Noida Workers' Protest: Tata Motors To Dixon — Companies Most Impacted,
H2,Indostar Capital Finance Shares in Focus as Motilal Oswal Sees Strong FY28 Runway — Check Target Price,
H3,Trending News,
Paragraph,"The decline in active investors has been largely driven by the country's top brokerage firms, which together account for a dominant share of NSE's retail client base.",
Paragraph,"New Delhi, April 14 (IANS) Use of digital tools such as the Poshan Tracker Application now enables near real‑time monitoring of over 14 lakh Anganwadi Centres and nearly 9 crore beneficiaries under the mission, the government said on Tuesday.",
Paragraph,"European Court grants anonymity to Nirav Modi, making his extradition case confidential.",
Paragraph,Gautam Gambhir took over the high-profile India head coach job after the 2024 T20 World Cup win.,
Paragraph,RailTel share price was trading 12.85 percent higher at Rs 321 per share at 10:04 AM.,
Paragraph,"Groww is up nearly 25% in the past month and has climbed about 95% from its issue price of Rs 100, reflecting strong investor appetite for retail investing platforms.",
Paragraph,"Southern Indian cities reported higher gold prices than northern capitals, while silver rates showed minor regional variations amid ongoing market caution.",
Paragraph,"Instead of directly confronting the teacher, he chose to decline politely, offering an excuse to avoid the situation.",
Paragraph,"CSK spinner Noor Ahmad returned to top form, claiming 3 wickets for 21 runs in the IPL 2026 match against KKR.",
Paragraph,US President Donald Trump says the war with Iran is close to over and claims Tehran would need 20 years to rebuild if the US withdraws now.,
Paragraph,"Minimum passing mark is 33 percent per subject. Supplementary exams for students who fail will be conducted from May 7 to May 25, with schedules available on the official MPBSE website.",
Paragraph,"HG Infra shares have risen almost 20% since the start of March, despite broad-based weakness in the market owing to the Iran War",
Paragraph,Dr Manish Shetty explains how Ashwagandha supplementation can be used to reduce belly fat caused by stress. There are also potential side effects that may affect its properties.,
Paragraph,AP Manabadi Inter Results 2026: AP Inter 1st and 2nd year results out today are available for download via NDTV board exam page. Check direct link or scan the QR code to instantly check scores while avoiding heavy traffic on official websites.,
Paragraph,"LIC share price jumped as much as 4.24% on the NSE to Rs 837.75, compared to a 1.5% gain in the benchmark Nifty 50 index.",
Paragraph,A preliminary enquiry confirmed that the boy was subjected to inhumane punishment for being irregular in attending classes.,
Paragraph,"MPBSE 10th, 12th Results 2026: Students are advised to keep their login credentials ready to avoid last-minute delays while checking their results.",
